Taxon,Prevalence,Ref,Reference
o__Methanomicrobiales,0.117318436,Ours,ExoTIC TCGA CRC (this study)
o__Methanopyrales,0.044692737,Ours,ExoTIC TCGA CRC (this study)
o__Methanosarcinales,0.086592179,Ours,ExoTIC TCGA CRC (this study)
o__Methylacidiphilales,0.195530726,Ours,ExoTIC TCGA CRC (this study)
o__Methylococcales,0.329608939,Ours,ExoTIC TCGA CRC (this study)
o__Micrococcales,1,Ours,ExoTIC TCGA CRC (this study)
o__Micromonosporales,0.994413408,Ours,ExoTIC TCGA CRC (this study)
o__Mononegavirales,0.019553073,Ours,ExoTIC TCGA CRC (this study)
o__Mycoplasmatales,0.851955307,Ours,ExoTIC TCGA CRC (this study)
o__Myrtales,1,Ours,ExoTIC TCGA CRC (this study)
o__Myxococcales,0.991620112,Ours,ExoTIC TCGA CRC (this study)
o__Nakamurellales,0.11452514,Ours,ExoTIC TCGA CRC (this study)
o__Natranaerobiales,0.173184358,Ours,ExoTIC TCGA CRC (this study)
o__Natrialbales,0.245810056,Ours,ExoTIC TCGA CRC (this study)
o__Nautiliales,0.075418994,Ours,ExoTIC TCGA CRC (this study)
o__Naviculales,1,Ours,ExoTIC TCGA CRC (this study)
o__Neisseriales,0.980446927,Ours,ExoTIC TCGA CRC (this study)
o__Nevskiales,0.131284916,Ours,ExoTIC TCGA CRC (this study)
o__Nidovirales,0,Ours,ExoTIC TCGA CRC (this study)
o__Nitrosomonadales,0.980446927,Ours,ExoTIC TCGA CRC (this study)
o__Nitrosopumilales,0.081005587,Ours,ExoTIC TCGA CRC (this study)
o__Nitrososphaerales,0.315642458,Ours,ExoTIC TCGA CRC (this study)
o__Nitrospirales,0.148044693,Ours,ExoTIC TCGA CRC (this study)
o__Nostocales,0.944134078,Ours,ExoTIC TCGA CRC (this study)
o__Nymphaeales,1,Ours,ExoTIC TCGA CRC (this study)
o__Oceanospirillales,0.972067039,Ours,ExoTIC TCGA CRC (this study)
o__Opitutales,0.416201117,Ours,ExoTIC TCGA CRC (this study)
o__Orbales,0.298882682,Ours,ExoTIC TCGA CRC (this study)
o__Ortervirales,1,Ours,ExoTIC TCGA CRC (this study)
o__Oscillatoriales,0.030726257,Ours,ExoTIC TCGA CRC (this study)
o__Parachlamydiales,0.215083799,Ours,ExoTIC TCGA CRC (this study)
o__Parvularculales,0.01396648,Ours,ExoTIC TCGA CRC (this study)
o__Pasteurellales,1,Ours,ExoTIC TCGA CRC (this study)
o__Pelagibacterales,0.248603352,Ours,ExoTIC TCGA CRC (this study)
o__Peniculida,0.002793296,Ours,ExoTIC TCGA CRC (this study)
o__Petrotogales,0.055865922,Ours,ExoTIC TCGA CRC (this study)
o__Phycisphaerales,0.086592179,Ours,ExoTIC TCGA CRC (this study)
o__Picornavirales,0.022346369,Ours,ExoTIC TCGA CRC (this study)
o__Piroplasmida,1,Ours,ExoTIC TCGA CRC (this study)
o__Planctomycetales,0.988826816,Ours,ExoTIC TCGA CRC (this study)
o__Pleurocapsales,0.541899441,Ours,ExoTIC TCGA CRC (this study)
o__Poales,1,Ours,ExoTIC TCGA CRC (this study)
o__Primates,1,Ours,ExoTIC TCGA CRC (this study)
o__Propionibacteriales,1,Ours,ExoTIC TCGA CRC (this study)
o__Pseudomonadales,1,Ours,ExoTIC TCGA CRC (this study)
o__Pseudonocardiales,1,Ours,ExoTIC TCGA CRC (this study)
o__Puniceicoccales,0.703910615,Ours,ExoTIC TCGA CRC (this study)
o__Pyrenomonadales,0.994413408,Ours,ExoTIC TCGA CRC (this study)
o__Ranunculales,1,Ours,ExoTIC TCGA CRC (this study)
o__Rhizobiales,1,Ours,ExoTIC TCGA CRC (this study)
o__Rhodobacterales,1,Ours,ExoTIC TCGA CRC (this study)
o__Rhodocyclales,0.988826816,Ours,ExoTIC TCGA CRC (this study)
o__Rhodospirillales,1,Ours,ExoTIC TCGA CRC (this study)
o__Rickettsiales,0.865921788,Ours,ExoTIC TCGA CRC (this study)
o__Rosales,1,Ours,ExoTIC TCGA CRC (this study)
o__Rubrobacterales,0.24301676,Ours,ExoTIC TCGA CRC (this study)
o__Saccharomycetales,1,Ours,ExoTIC TCGA CRC (this study)
o__Salinisphaerales,0.011173184,Ours,ExoTIC TCGA CRC (this study)
o__Sapindales,1,Ours,ExoTIC TCGA CRC (this study)
o__Saprospirales,0.134078212,Ours,ExoTIC TCGA CRC (this study)
o__Schizosaccharomycetales,0.837988827,Ours,ExoTIC TCGA CRC (this study)
o__Sedimentisphaerales,0.05027933,Ours,ExoTIC TCGA CRC (this study)
o__Selenomonadales,0.511173184,Ours,ExoTIC TCGA CRC (this study)
o__Silvanigrellales,0.136871508,Ours,ExoTIC TCGA CRC (this study)
o__Solanales,1,Ours,ExoTIC TCGA CRC (this study)
o__Solirubrobacterales,0.184357542,Ours,ExoTIC TCGA CRC (this study)
o__Sordariales,1,Ours,ExoTIC TCGA CRC (this study)
o__Sphaerobacterales,0.047486034,Ours,ExoTIC TCGA CRC (this study)
o__Sphingobacteriales,1,Ours,ExoTIC TCGA CRC (this study)
o__Sphingomonadales,1,Ours,ExoTIC TCGA CRC (this study)
o__Spirochaetales,0.832402235,Ours,ExoTIC TCGA CRC (this study)
o__Streptomycetales,1,Ours,ExoTIC TCGA CRC (this study)
o__Streptosporangiales,0.88547486,Ours,ExoTIC TCGA CRC (this study)
o__Sulfolobales,0.407821229,Ours,ExoTIC TCGA CRC (this study)
o__Synechococcales,0.994413408,Ours,ExoTIC TCGA CRC (this study)
o__Synergistales,0.251396648,Ours,ExoTIC TCGA CRC (this study)
o__Syntrophobacterales,0.270949721,Ours,ExoTIC TCGA CRC (this study)
o__Thalassiosirales,0.997206704,Ours,ExoTIC TCGA CRC (this study)
o__Thermales,0.840782123,Ours,ExoTIC TCGA CRC (this study)
o__Thermoanaerobacterales,0.851955307,Ours,ExoTIC TCGA CRC (this study)
o__Thermococcales,0.51396648,Ours,ExoTIC TCGA CRC (this study)
o__Thermodesulfobacteriales,0.24301676,Ours,ExoTIC TCGA CRC (this study)
o__Thermomicrobiales,0.036312849,Ours,ExoTIC TCGA CRC (this study)
o__Thermoplasmatales,0.153631285,Ours,ExoTIC TCGA CRC (this study)
o__Thermoproteales,0.793296089,Ours,ExoTIC TCGA CRC (this study)
o__Thermotogales,0.446927374,Ours,ExoTIC TCGA CRC (this study)
o__Thiotrichales,0.966480447,Ours,ExoTIC TCGA CRC (this study)
o__Tissierellales,0.712290503,Ours,ExoTIC TCGA CRC (this study)
o__Tremellales,1,Ours,ExoTIC TCGA CRC (this study)
o__Tymovirales,0,Ours,ExoTIC TCGA CRC (this study)
o__Ustilaginales,1,Ours,ExoTIC TCGA CRC (this study)
o__Veillonellales,0.365921788,Ours,ExoTIC TCGA CRC (this study)
o__Verrucomicrobiales,0.360335196,Ours,ExoTIC TCGA CRC (this study)
o__Vibrionales,0.916201117,Ours,ExoTIC TCGA CRC (this study)
o__Victivallales,0.189944134,Ours,ExoTIC TCGA CRC (this study)
o__Vitales,1,Ours,ExoTIC TCGA CRC (this study)
o__Xanthomonadales,1,Ours,ExoTIC TCGA CRC (this study)
o__Zingiberales,1,Ours,ExoTIC TCGA CRC (this study)
p__Acidobacteria,0.924581006,Ours,ExoTIC TCGA CRC (this study)
p__Actinobacteria,1,Ours,ExoTIC TCGA CRC (this study)
p__Apicomplexa,1,Ours,ExoTIC TCGA CRC (this study)
p__Aquificae,0.879888268,Ours,ExoTIC TCGA CRC (this study)
p__Armatimonadetes,0.164804469,Ours,ExoTIC TCGA CRC (this study)
p__Ascomycota,1,Ours,ExoTIC TCGA CRC (this study)
p__Bacillariophyta,1,Ours,ExoTIC TCGA CRC (this study)
p__Bacteroidetes,1,Ours,ExoTIC TCGA CRC (this study)
p__Balneolaeota,0.055865922,Ours,ExoTIC TCGA CRC (this study)
p__Basidiomycota,1,Ours,ExoTIC TCGA CRC (this study)
p__Caldiserica,0.022346369,Ours,ExoTIC TCGA CRC (this study)
p__candidate,0.016759777,Ours,ExoTIC TCGA CRC (this study)
p__Candidatus,0.209497207,Ours,ExoTIC TCGA CRC (this study)
p__Cercozoa,0.837988827,Ours,ExoTIC TCGA CRC (this study)
p__Chlamydiae,0.966480447,Ours,ExoTIC TCGA CRC (this study)
p__Chlorobi,0.905027933,Ours,ExoTIC TCGA CRC (this study)
p__Chloroflexi,0.368715084,Ours,ExoTIC TCGA CRC (this study)
p__Chlorophyta,1,Ours,ExoTIC TCGA CRC (this study)
p__Chordata,1,Ours,ExoTIC TCGA CRC (this study)
p__Chrysiogenetes,0.033519553,Ours,ExoTIC TCGA CRC (this study)
p__Ciliophora,0.002793296,Ours,ExoTIC TCGA CRC (this study)
p__Coprothermobacterota,0.01396648,Ours,ExoTIC TCGA CRC (this study)
p__Crenarchaeota,0.905027933,Ours,ExoTIC TCGA CRC (this study)
p__Cryptophyta,1,Ours,ExoTIC TCGA CRC (this study)
p__Cyanobacteria,1,Ours,ExoTIC TCGA CRC (this study)
p__Deferribacteres,0.245810056,Ours,ExoTIC TCGA CRC (this study)
p__Deinococcus,0.849162011,Ours,ExoTIC TCGA CRC (this study)
p__Dictyoglomi,0.069832402,Ours,ExoTIC TCGA CRC (this study)
p__Elusimicrobia,0.092178771,Ours,ExoTIC TCGA CRC (this study)
p__Euglenozoa,1,Ours,ExoTIC TCGA CRC (this study)
p__Euryarchaeota,0.997206704,Ours,ExoTIC TCGA CRC (this study)
p__Evosea,0.991620112,Ours,ExoTIC TCGA CRC (this study)
p__Fibrobacteres,0.030726257,Ours,ExoTIC TCGA CRC (this study)
p__Firmicutes,1,Ours,ExoTIC TCGA CRC (this study)
p__Fusobacteria,0.983240223,Ours,ExoTIC TCGA CRC (this study)
p__Gemmatimonadetes,0.379888268,Ours,ExoTIC TCGA CRC (this study)
p__Ignavibacteriae,0.854748603,Ours,ExoTIC TCGA CRC (this study)
p__Kiritimatiellaeota,0.195530726,Ours,ExoTIC TCGA CRC (this study)
p__Lentisphaerae,0.189944134,Ours,ExoTIC TCGA CRC (this study)
p__Microsporidia,0.997206704,Ours,ExoTIC TCGA CRC (this study)
p__Negarnaviricota,0.310055866,Ours,ExoTIC TCGA CRC (this study)
p__Nitrospirae,0.148044693,Ours,ExoTIC TCGA CRC (this study)
p__Planctomycetes,1,Ours,ExoTIC TCGA CRC (this study)
p__Proteobacteria,1,Ours,ExoTIC TCGA CRC (this study)
p__Rhodophyta,0.815642458,Ours,ExoTIC TCGA CRC (this study)
p__Spirochaetes,0.988826816,Ours,ExoTIC TCGA CRC (this study)
p__Streptophyta,1,Ours,ExoTIC TCGA CRC (this study)
p__Synergistetes,0.251396648,Ours,ExoTIC TCGA CRC (this study)
p__Tenericutes,1,Ours,ExoTIC TCGA CRC (this study)
p__Thaumarchaeota,0.502793296,Ours,ExoTIC TCGA CRC (this study)
p__Thermodesulfobacteria,0.24301676,Ours,ExoTIC TCGA CRC (this study)
p__Thermotogae,0.497206704,Ours,ExoTIC TCGA CRC (this study)
p__Verrucomicrobia,0.910614525,Ours,ExoTIC TCGA CRC (this study)
s__[Arcobacter] porcinus,0.036312849,Ours,ExoTIC TCGA CRC (this study)
s__[Bacillus] caldolyticus,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__[Bacillus] selenitireducens,0,Ours,ExoTIC TCGA CRC (this study)
s__[Brevibacterium] flavum,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__[Brevibacterium] frigoritolerans,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__[Candida] glabrata,0.784916201,Ours,ExoTIC TCGA CRC (this study)
s__[Clostridium] bolteae,0.801675978,Ours,ExoTIC TCGA CRC (this study)
s__[Clostridium] cellulosi,0.078212291,Ours,ExoTIC TCGA CRC (this study)
s__[Clostridium] hiranonis,0.086592179,Ours,ExoTIC TCGA CRC (this study)
s__[Clostridium] hylemonae,0.131284916,Ours,ExoTIC TCGA CRC (this study)
s__[Clostridium] saccharolyticum,0.083798883,Ours,ExoTIC TCGA CRC (this study)
s__[Clostridium] scindens,0.125698324,Ours,ExoTIC TCGA CRC (this study)
s__[Clostridium] sphenoides,0.067039106,Ours,ExoTIC TCGA CRC (this study)
s__[Clostridium] ultunense,0.047486034,Ours,ExoTIC TCGA CRC (this study)
s__[Enterobacter] lignolyticus,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__[Eubacterium] cellulosolvens,0.103351955,Ours,ExoTIC TCGA CRC (this study)
s__[Eubacterium] eligens,0.108938547,Ours,ExoTIC TCGA CRC (this study)
s__[Eubacterium] minutum,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__[Eubacterium] sulci,0.069832402,Ours,ExoTIC TCGA CRC (this study)
s__[Haemophilus] ducreyi,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__[Mannheimia] succiniciproducens,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__[Mycobacterium] stephanolepidis,0.041899441,Ours,ExoTIC TCGA CRC (this study)
s__[Pasteurella] aerogenes,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__[Polyangium] brachysporum,0.189944134,Ours,ExoTIC TCGA CRC (this study)
s__[Pseudomonas] mesoacidophila,0.027932961,Ours,ExoTIC TCGA CRC (this study)
s__[Ruminococcus] gnavus,0.332402235,Ours,ExoTIC TCGA CRC (this study)
s__Abalone shriveling syndrome-associated virus,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Abelson murine leukemia virus,0.98603352,Ours,ExoTIC TCGA CRC (this study)
s__Acaryochloris marina,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Acetoanaerobium sticklandii,0.167597765,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter aceti,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter ascendens,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter ghanensis,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter orientalis,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter oryzifermentans,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter pasteurianus,0.695530726,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter persici,0.980446927,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter pomorum,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter senegalensis,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter sp. B6,0,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter sp. KACC 21233,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacter tropicalis,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Acetobacteraceae bacterium,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Acetohalobium arabaticum,0.053072626,Ours,ExoTIC TCGA CRC (this study)
s__Acetomicrobium mobile,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Acholeplasma axanthum,0.125698324,Ours,ExoTIC TCGA CRC (this study)
s__Acholeplasma brassicae,0.150837989,Ours,ExoTIC TCGA CRC (this study)
s__Acholeplasma laidlawii,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Acholeplasma oculi,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Acholeplasma palmae,0.139664804,Ours,ExoTIC TCGA CRC (this study)
s__Achromobacter denitrificans,0.12849162,Ours,ExoTIC TCGA CRC (this study)
s__Achromobacter insolitus,0.069832402,Ours,ExoTIC TCGA CRC (this study)
s__Achromobacter phage JWF,0,Ours,ExoTIC TCGA CRC (this study)
s__Achromobacter ruhlandii,0.011173184,Ours,ExoTIC TCGA CRC (this study)
s__Achromobacter sp. AONIH1,0.094972067,Ours,ExoTIC TCGA CRC (this study)
s__Achromobacter sp. B7,0.094972067,Ours,ExoTIC TCGA CRC (this study)
s__Achromobacter sp. MFA1 R4,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Achromobacter spanius,0.162011173,Ours,ExoTIC TCGA CRC (this study)
s__Achromobacter virus JWX,0,Ours,ExoTIC TCGA CRC (this study)
s__Achromobacter xylosoxidans,0.583798883,Ours,ExoTIC TCGA CRC (this study)
s__Acidaminococcus fermentans,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Acidaminococcus intestini,0.488826816,Ours,ExoTIC TCGA CRC (this study)
s__Acidianus ambivalens,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Acidianus brierleyi,0.05027933,Ours,ExoTIC TCGA CRC (this study)
s__Acidianus hospitalis,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Acidianus manzaensis,0.081005587,Ours,ExoTIC TCGA CRC (this study)
s__Acidianus sulfidivorans,0.111731844,Ours,ExoTIC TCGA CRC (this study)
s__Acidibrevibacterium fodinaquatile,0.089385475,Ours,ExoTIC TCGA CRC (this study)
s__Acidiferrobacter sp. SPIII_3,0.030726257,Ours,ExoTIC TCGA CRC (this study)
s__Acidihalobacter ferrooxidans,0.011173184,Ours,ExoTIC TCGA CRC (this study)
s__Acidihalobacter prosperus,0.053072626,Ours,ExoTIC TCGA CRC (this study)
s__Acidilobus saccharovorans,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Acidilobus sp. 7A,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Acidimicrobium ferrooxidans,0.039106145,Ours,ExoTIC TCGA CRC (this study)
s__Acidipropionibacterium acidipropionici,0.06424581,Ours,ExoTIC TCGA CRC (this study)
s__Acidipropionibacterium jensenii,0.11452514,Ours,ExoTIC TCGA CRC (this study)
s__Acidipropionibacterium virtanenii,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Acidisarcina polymorpha,0.081005587,Ours,ExoTIC TCGA CRC (this study)
s__Acidithiobacillus caldus,0.293296089,Ours,ExoTIC TCGA CRC (this study)
s__Acidithiobacillus ferrivorans,0.027932961,Ours,ExoTIC TCGA CRC (this study)
s__Acidithiobacillus ferrooxidans,0.245810056,Ours,ExoTIC TCGA CRC (this study)
s__Acidithiobacillus thiooxidans,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Acidobacterium capsulatum,0.036312849,Ours,ExoTIC TCGA CRC (this study)
s__Acidothermus cellulolyticus,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Aciduliprofundum boonei,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Aciduliprofundum sp. MAR08-339,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter baumannii,0.969273743,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter baylyi,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter bereziniae,0.083798883,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter calcoaceticus,0.067039106,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter chinensis,0.027932961,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter cumulans,0.036312849,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter defluvii,0.072625698,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter equi,0.019553073,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter guillouiae,0.458100559,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter haemolyticus,0.220670391,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter indicus,0.125698324,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter johnsonii,0.712290503,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter junii,0.460893855,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter lactucae,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter larvae,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter lwoffii,0.416201117,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter nosocomialis,0.142458101,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter oleivorans,0.027932961,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter phage Acj61,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter phage Acj9,0,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter phage Presley,0,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter phage vB_AbaM_Acibel004,0,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter phage vB_AbaM_phiAbaA1,0,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter phage YMC13/03/R2096,0,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter phage ZZ1,0,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter pittii,0.916201117,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter radioresistens,0.262569832,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter schindleri,0.167597765,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter soli,0.148044693,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. ACNIH1,0.189944134,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. ACNIH2,0.108938547,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. C16S1,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. dk386,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. DUT-2,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. FDAARGOS_493,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. FDAARGOS_560,0.011173184,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. LoGeW2-3,0.039106145,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. M131,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. NCu2D-2,0.047486034,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. SWBY1,0.139664804,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. TGL-Y2,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. TTH0-4,0.053072626,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. WCHA45,0.181564246,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. WCHA55,0.189944134,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. WCHAc010034,0.125698324,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter sp. WCHAc010052,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter tandoii,0.01396648,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter towneri,0.189944134,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter ursingii,0.290502793,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter venetianus,0.181564246,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter virus 133,0,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter virus AB1,0,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter virus AbP2,0,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter virus Loki,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter virus LZ35,0,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter virus ME3,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter virus WCHABP12,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Acinetobacter wuhouensis,0.779329609,Ours,ExoTIC TCGA CRC (this study)
s__Actinoalloteichus fjordicus,0.265363128,Ours,ExoTIC TCGA CRC (this study)
s__Actinoalloteichus hoggarensis,0.703910615,Ours,ExoTIC TCGA CRC (this study)
s__Actinoalloteichus hymeniacidonis,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Actinoalloteichus sp. GBA129-24,0,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacillus delphinicola,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacillus equuli,0.002793296,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacillus lignieresii,0.005586592,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacillus pleuropneumoniae,0.055865922,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacillus porcitonsillarum,0.039106145,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacillus succinogenes,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacillus suis,0.008379888,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacteria bacterium IMCC19121,0.039106145,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacteria bacterium IMCC25003,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacteria bacterium IMCC26077,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacteria bacterium IMCC26103,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacteria bacterium IMCC26256,0.069832402,Ours,ExoTIC TCGA CRC (this study)
s__Actinobacteria bacterium YIM 96077,0.069832402,Ours,ExoTIC TCGA CRC (this study)
s__Actinobaculum sp. 313,0.011173184,Ours,ExoTIC TCGA CRC (this study)
s__Actinomadura amylolytica,0.259776536,Ours,ExoTIC TCGA CRC (this study)
s__Actinomadura sp. WMMA1423,0.413407821,Ours,ExoTIC TCGA CRC (this study)
s__Actinomadura sp. WMMB499,0.19273743,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces gaoshouyii,0.027932961,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces hongkongensis,0.047486034,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces howellii,0.072625698,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces israelii,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces naeslundii,0.086592179,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces oris,0.094972067,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces pacaensis,0.022346369,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces qiguomingii,0.025139665,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces radicidentis,0.044692737,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces sp. 2129,0.039106145,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces sp. 299,0.058659218,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces sp. Chiba101,0.094972067,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces sp. dk561,0.033519553,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces sp. oral taxon 171,0.106145251,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces sp. oral taxon 414,0.315642458,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces sp. oral taxon 897,0.072625698,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces sp. Z16,0.016759777,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces tangfeifanii,0.039106145,Ours,ExoTIC TCGA CRC (this study)
s__Actinomyces viscosus,0.103351955,Ours,ExoTIC TCGA CRC (this study)
s__Actinoplanes derwentensis,0.078212291,Ours,ExoTIC TCGA CRC (this study)
s__Actinoplanes friuliensis,0.553072626,Ours,ExoTIC TCGA CRC (this study)
s__Actinoplanes missouriensis,0.055865922,Ours,ExoTIC TCGA CRC (this study)
s__Actinoplanes phage phiAsp2,0,Ours,ExoTIC TCGA CRC (this study)
s__Actinoplanes sp. N902-109,0.055865922,Ours,ExoTIC TCGA CRC (this study)
s__Actinoplanes sp. OR16,0.312849162,Ours,ExoTIC TCGA CRC (this study)
s__Actinoplanes sp. SE50/110,0.011173184,Ours,ExoTIC TCGA CRC (this study)
s__Actinoplanes teichomyceticus,0.310055866,Ours,ExoTIC TCGA CRC (this study)
s__Actinopolymorpha singaporensis,0.136871508,Ours,ExoTIC TCGA CRC (this study)
