"","Overall"
"s__Burkholderia.sp..MSMB1588",0
"s__Burkholderia.sp..MSMB617WGS",0
"s__Burkholderia.sp..NK8",0
"s__Burkholderia.sp..NRF60.BP8",0
"s__Burkholderia.sp..PAMC.26561",0
"s__Burkholderia.sp..PAMC.28687",0
"s__Burkholderia.sp..RPE67",0
"s__Burkholderia.sp..THE68",0
"s__Burkholderia.sp..YI23",0
"s__Burkholderia.stabilis",0
"s__Burkholderia.stagnalis",0
"s__Burkholderia.territorii",1.27539238973944
"s__Burkholderia.thailandensis",0
"s__Burkholderia.ubonensis",0
"s__Burkholderia.vietnamiensis",0
"s__Burkholderia.virus.AH2",0
"s__Burkholderia.virus.Bcep22",0
"s__Burkholderia.virus.BcepC6B",0
"s__Burkholderia.virus.Bcepil02",0
"s__Burkholderia.virus.Bcepmigl",0
"s__Burkholderia.virus.BcepSaruman",0
"s__Burkholderia.virus.BcepSauron",0
"s__Burkholderia.virus.DC1",0
"s__Burkholderia.virus.KL4",0
"s__Burkholderia.virus.KS14",0
"s__Buttiauxella.agrestis",0
"s__Buttiauxella.sp..3AFRM03",0
"s__Butyricimonas.faecalis",0
"s__Butyricimonas.virosa",0
"s__Butyrivibrio.fibrisolvens",0
"s__Butyrivibrio.hungatei",0
"s__Bythopirellula.goksoyri",0
"s__Caballeronia.sp..M1242",0
"s__Caballeronia.sp..SBC1",0
"s__Caballeronia.sp..SBC2",0
"s__Cafeteria.roenbergensis.virus",0
"s__Caldibacillus.thermoamylovorans",0.201939235343245
"s__Caldicellulosiruptor.bescii",0
"s__Caldicellulosiruptor.hydrothermalis",0
"s__Caldicellulosiruptor.kristjanssonii",0
"s__Caldicellulosiruptor.kronotskyensis",0
"s__Caldicellulosiruptor.lactoaceticus",0
"s__Caldicellulosiruptor.obsidiansis",0
"s__Caldicellulosiruptor.owensensis",0
"s__Caldicellulosiruptor.sp..YA01",0
"s__Caldichromatium.japonicum",0
"s__Caldilinea.aerophila",2.93692722413684
"s__Caldisphaera.lagunensis",0
"s__Caloramator.sp..E03",0
"s__Campylobacter.armoricus",0
"s__Campylobacter.canadensis",0
"s__Campylobacter.corcagiensis",0
"s__Campylobacter.fetus",0
"s__Campylobacter.geochelonis",0
"s__Campylobacter.gracilis",0.632952348120513
"s__Campylobacter.helveticus",0
"s__Campylobacter.iguaniorum",0
"s__Campylobacter.insulaenigrae",0
"s__Campylobacter.lanienae",0
"s__Campylobacter.lari",0
"s__Campylobacter.novaezeelandiae",0
"s__Campylobacter.ornithocola",0
"s__Campylobacter.peloridis",0
"s__Campylobacter.pinnipediorum",0
"s__Campylobacter.rectus",0
"s__Campylobacter.sp..19.13652",0
"s__Campylobacter.sp..2014D.0216",0
"s__Campylobacter.sp..CCUG.57310",0
"s__Campylobacter.sp..RM12175",0
"s__Campylobacter.sp..RM6137",0
"s__Campylobacter.sp..RM6914",0
"s__Campylobacter.sputorum",0
"s__Campylobacter.subantarcticus",0
"s__Campylobacter.ureolyticus",2.48373196595923
"s__Campylobacter.volucris",0
"s__Candida.albicans",0
"s__Candida.dubliniensis",0
"s__Candida.orthopsilosis",0.680532296253879
"s__Candidatus.Aquiluna.sp..UB.MaderosW2red",1.63063562263614
"s__Candidatus.Arsenophonus.lipoptenae",0
"s__Candidatus.Atelocyanobacterium.thalassa",0
"s__Candidatus.Azoamicus.ciliaticola",0
"s__Candidatus.Babela.massiliensis",2.42891295680755
"s__Candidatus.Blochmannia.chromaiodes",0
"s__Candidatus.Borrelia.tachyglossi",0
"s__Candidatus.Carsonella.ruddii",0
"s__Candidatus.Coxiella.mudrowiae",0
"s__Candidatus.Cytomitobacter.indipagum",0
"s__Candidatus.Doolittlea.endobia",0
"s__Candidatus.Endolissoclinum.faulkneri",0.0345209244854272
"s__Candidatus.Endomicrobium.trichonymphae",0
"s__Candidatus.Enterovibrio.luxaltus",0
"s__Candidatus.Erwinia.haradaeae",0
"s__Candidatus.Filomicrobium.marinum",0
"s__Candidatus.Fonsibacter.ubiquis",0
"s__Candidatus.Formimonas.warabiya",0
"s__Candidatus.Gullanella.endobia",0
"s__Candidatus.Hamiltonella.defensa",0
"s__Candidatus.Hoaglandella.endobia",0
"s__Candidatus.Hodgkinia.cicadicola",0
"s__Candidatus.Ishikawaella.capsulata",0
"s__Candidatus.Kinetoplastibacterium.blastocrithidii",0
"s__Candidatus.Kinetoplastibacterium.crithidii",0
"s__Candidatus.Kinetoplastibacterium.galatii",0
"s__Candidatus.Kinetoplastibacterium.oncopeltii",0
"s__Candidatus.Kuenenia.stuttgartiensis",0.197866639449413
"s__Candidatus.Liberibacter.americanus",0
"s__Candidatus.Mancarchaeum.acidiphilum",0
"s__Candidatus.Methanomassiliicoccus.intestinalis",0
"s__Candidatus.Methanoplasma.termitum",0
"s__Candidatus.Methylopumilus.planktonicus",0
"s__Candidatus.Methylopumilus.rimovensis",0
"s__Candidatus.Methylopumilus.turicensis",0.438184333867173
"s__Candidatus.Methylopumilus.universalis",0
"s__Candidatus.Methylospira.mobilis",0
"s__Candidatus.Micrarchaeum.sp.",0
"s__Candidatus.Mikella.endobia",0
"s__Candidatus.Mycoplasma.haemolamae",0
"s__Candidatus.Nanopelagicus.abundans",0
"s__Candidatus.Nanopelagicus.limnes",0
"s__Candidatus.Nanosynbacter.lyticus",0
"s__Candidatus.Nitrosocosmicus.franklandus",0
"s__Candidatus.Nitrosocosmicus.hydrocola",0
"s__Candidatus.Nitrosocosmicus.oleophilus",0
"s__Candidatus.Nitrosoglobus.terrae",0
"s__Candidatus.Nitrosopelagicus.brevis",0
"s__Candidatus.Nitrosopumilus.koreensis",0
"s__Candidatus.Nitrosopumilus.sediminis",0
"s__Candidatus.Nitrosopumilus.sp..SW",0
"s__Candidatus.Nitrososphaera.evergladensis",0
"s__Candidatus.Nitrososphaera.gargensis",0
"s__Candidatus.Nitrosotalea.okcheonensis",2.24752683328132
"s__Candidatus.Nitrosotenuis.aquarius",0
"s__Candidatus.Nitrosotenuis.cloacae",0
"s__Candidatus.Nitrosotenuis.sp..DW1",0
"s__Candidatus.Nitrospira.inopinata",0
"s__Candidatus.Nitrotoga.sp..AM1P",0
"s__Candidatus.Paracaedibacter.acanthamoebae",0
"s__Candidatus.Pelagibacter.giovannonii",0
"s__Candidatus.Pelagibacter.sp..FZCC0015",5.39755187492345
"s__Candidatus.Pelagibacter.sp..HIMB1321",0
"s__Candidatus.Pelagibacter.sp..IMCC9063",0
"s__Candidatus.Pelagibacter.sp..RS39",0
"s__Candidatus.Pelagibacter.sp..RS40",0
"s__Candidatus.Pelagibacter.ubique",0
"s__Candidatus.Phaeomarinobacter.ectocarpi",0
"s__Candidatus.Phytoplasma.luffae",0
"s__Candidatus.Phytoplasma.mali",0
"s__Candidatus.Phytoplasma.ziziphi",0
"s__Candidatus.Planktophila.dulcis",0
"s__Candidatus.Planktophila.lacus",0
"s__Candidatus.Planktophila.limnetica",0
"s__Candidatus.Planktophila.sulfonica",0.957157833906969
"s__Candidatus.Planktophila.versatilis",0
"s__Candidatus.Profftella.armatura",0
"s__Candidatus.Profftella.armatura..Diaphorina.cf..continua.",0
"s__Candidatus.Profftia.tarda",0
"s__Candidatus.Protochlamydia.naegleriophila",0
"s__Candidatus.Purcelliella.pentastirinorum",0
"s__Candidatus.Reidiella.endopervernicosa",0
"s__Candidatus.Rhabdochlamydia.porcellionis",0
"s__Candidatus.Rhodoluna.planktonica",0
"s__Candidatus.Rickettsiella.viridis",0
"s__Candidatus.Riesia.pediculicola",0
"s__Candidatus.Riesia.pediculischaeffi",0
"s__Candidatus.Ruthia.endofausta",0
"s__Candidatus.Ruthia.magnifica",0
"s__Candidatus.Saccharimonas.aalborgensis",0
"s__Candidatus.Sulcia.muelleri",0
"s__Candidatus.Sulfurimonas.baltica",0
"s__Candidatus.Symbiobacter.mobilis",1.4844509803856
"s__Candidatus.Symbiopectobacterium.sp..SyEd1",0
"s__Candidatus.Tachikawaea.gelatinosa",0
"s__Candidatus.Thioglobus.autotrophicus",0
"s__Candidatus.Vesicomyosocius.okutanii",0
"s__Candidatus.Vesicomyosocius.sp..SY067_SCS001",0
"s__Candidatus.Walczuchella.monophlebidarum",0
"s__Candidatus.Wolbachia.massiliensis",0
"s__Candidatus.Xiphinematobacter.sp..Idaho.Grape",0
"s__Capnocytophaga.canimorsus",0
"s__Capnocytophaga.ochracea",0
"s__Capnocytophaga.sp..H2931",0
"s__Capnocytophaga.sp..H4358",0
"s__Capnocytophaga.sp..oral.taxon.902",0
"s__Capnocytophaga.sputigena",0
"s__Capnocytophaga.stomatis",0
"s__Caproicibacterium.amylolyticum",0
"s__Caproiciproducens.sp..7D4C2",0
"s__Caproiciproducens.sp..NJN.50",0
"s__Cardinium.endosymbiont.of.Encarsia.pergandiella",0
"s__Castellaniella.defragrans",0
"s__Catenovulum.sediminis",0
"s__Caulifigura.coniformis",0.153625992975886
"s__Caviid.betaherpesvirus.2",0
"s__Cedecea.lapagei",0
"s__Cedecea.neteri",0
"s__Cedecea.sp..FDAARGOS_727",0
"s__Celeribacter.baekdonensis",0
"s__Celeribacter.ethanolicus",0
"s__Celeribacter.marinus",0
"s__Cellulomonas.fimi",0
"s__Cellulomonas.gilvus",0
"s__Cellulomonas.shaoxiangyii",0
"s__Cellulomonas.sp..H30R.01",0
"s__Cellulomonas.sp..JZ18",0
"s__Cellulomonas.sp..PSBB021",0
"s__Cellulomonas.sp..Y8",0
"s__Cellulomonas.sp..zg.ZUI188",0
"s__Cellulomonas.sp..zg.ZUI222",0
"s__Cellulomonas.taurus",0
"s__Cellulosilyticum.lentocellum",0
"s__Cellulosilyticum.sp..WCF.2",0
"s__Cellulosimicrobium.cellulans",0
"s__Cellulosimicrobium.sp..72.3",0
"s__Cellulosimicrobium.sp..BI34T",0
"s__Cellulosimicrobium.sp..JZ28",0
"s__Cellulosimicrobium.sp..TH.20",0
"s__Cellvibrio.sp..KY.GH.1",0
"s__Cellvibrio.sp..KY.YJ.3",0
"s__Cellvibrio.sp..PSBB023",0
"s__Cercospora.beticola",0
"s__Cereibacter.sphaeroides",0
"s__Chania.multitudinisentens",0
"s__Chelativorans.sp..BNC1",0
"s__Chitinibacter.bivalviorum",0
"s__Chitinibacter.fontanus",0
"s__Chitinolyticbacter.meiyuanensis",0
"s__Chlamydia.abortus",0
"s__Chlamydia.caviae",0
"s__Chlamydia.gallinacea",0
"s__Chlamydia.muridarum",0
"s__Chlamydia.pecorum",0
"s__Chlamydia.pneumoniae",0
"s__Chlamydia.sp..2742.308",0
"s__Chlamydia.sp..H15.1957.10C",0
"s__Chlamydia.sp..No..12",0
"s__Chlamydia.sp..S15.834C",0
"s__Chlamydia.suis",0
"s__Chlamydia.trachomatis",0
"s__Chlamydiifrater.volucris",0
"s__Chloracidobacterium.aggregatum",0
"s__Chloracidobacterium.sp..D",0
"s__Chlorobaculum.limnaeum",0
"s__Chlorobaculum.parvum",0
"s__Chlorobaculum.tepidum",0
"s__Chloroflexus.aggregans",0
"s__Chondrocystis.sp..NIES.4102",1.64223518488823
"s__Chondromyces.crocatus",0
"s__Christensenella.minuta",0
"s__Chromobacterium.haemolyticum",0
"s__Chromobacterium.phragmitis",0
"s__Chromobacterium.rhizoryzae",0
"s__Chromobacterium.sp..ATCC.53434",0
"s__Chromobacterium.sp..Rain0013",0
"s__Chromobacterium.violaceum",0
"s__Chroococcidiopsis.thermalis",0
"s__Chryseoglobus.indicus",0
"s__Chryseoglobus.sp..28M.23",0
"s__Chryseolinea.soli",0
"s__Chthonomonas.calidirosea",0
"s__Ciceribacter.thiooxidans",0
"s__Citricoccus.sp..SGAir0253",0.497297429580611
"s__Citrobacter.amalonaticus",0
"s__Citrobacter.arsenatis",0
"s__Citrobacter.braakii",0
"s__Citrobacter.cronae",0
"s__Citrobacter.freundii.complex.sp..CFNIH2",0
"s__Citrobacter.koseri",0
"s__Citrobacter.pasteurii",0
"s__Citrobacter.portucalensis",0
"s__Citrobacter.rodentium",0
"s__Citrobacter.sedlakii",0
"s__Citrobacter.sp..B72",0
"s__Citrobacter.sp..BDA59.3",0
"s__Citrobacter.sp..FDAARGOS_156",0
"s__Citrobacter.sp..R56",0
"s__Citrobacter.sp..RHB25.C09",0
"s__Citrobacter.sp..RHBSTW.00021",0
"s__Citrobacter.sp..RHBSTW.00524",0
"s__Citrobacter.sp..RHBSTW.00570",0
"s__Citrobacter.sp..TSA.1",0
"s__Citrobacter.sp..Y3",0
"s__Citrobacter.telavivensis",0
"s__Citrobacter.werkmanii",0
"s__Citrobacter.youngae",0
"s__Citrus.endogenous.pararetrovirus",0
"s__Citrus.tristeza.virus",0
"s__Clavibacter.zhangzhiyongii",0
"s__Cloacibacillus.porcorum",0
"s__Cloacibacterium.caeni",0
"s__Clostridioides.difficile",0
"s__Clostridium.aceticum",0
"s__Clostridium.acetobutylicum",0
"s__Clostridium.argentinense",0
"s__Clostridium.autoethanogenum",0
"s__Clostridium.baratii",0
"s__Clostridium.beijerinckii",0
"s__Clostridium.bornimense",0
"s__Clostridium.botulinum",1.22997558919678
"s__Clostridium.butyricum",0
"s__Clostridium.carboxidivorans",0
"s__Clostridium.cellulovorans",0
"s__Clostridium.chauvoei",0
"s__Clostridium.cochlearium",0
"s__Clostridium.diolis",0
"s__Clostridium.drakei",0
"s__Clostridium.estertheticum",0
"s__Clostridium.fermenticellae",0
"s__Clostridium.formicaceticum",0
"s__Clostridium.gasigenes",0
"s__Clostridium.intestinale",6.52502690022779
"s__Clostridium.isatidis",0
"s__Clostridium.kluyveri",0
"s__Clostridium.ljungdahlii",0
"s__Clostridium.novyi",0
"s__Clostridium.pasteurianum",0
"s__Clostridium.perfringens",0
"s__Clostridium.phage.phi8074.B1",0
"s__Clostridium.phage.phiCT453A",0
"s__Clostridium.phage.phiCT453B",0
"s__Clostridium.phage.phiCTP1",0
"s__Clostridium.phage.vB_CpeS.CP51",0
"s__Clostridium.saccharobutylicum",1.58329256464686
"s__Clostridium.saccharoperbutylacetonicum",0
"s__Clostridium.scatologenes",0
"s__Clostridium.septicum",0
"s__Clostridium.sp...deep.sea.",0
"s__Clostridium.sp..001",0
"s__Clostridium.sp..AWRP",0
"s__Clostridium.sp..BNL1100",0.527549014114866
"s__Clostridium.sp..C1",0
"s__Clostridium.sp..CT4",0
"s__Clostridium.sp..DL.VIII",0
"s__Clostridium.sp..JN.1",0
"s__Clostridium.sp..JN.9",0
"s__Clostridium.sp..MF28",0
"s__Clostridium.sp..MT351",0
"s__Clostridium.sp..SY8519",0
"s__Clostridium.sporogenes",0
"s__Clostridium.taeniosporum",0
"s__Clostridium.tetani",0
"s__Clostridium.thermarum",0
"s__Clostridium.tyrobutyricum",0
"s__Clostridium.virus.susfortuna",0
"s__Clover.yellow.mosaic.virus",0
"s__Cluster.bean.endornavirus.1",0
"s__Cnuibacter.physcomitrellae",0
"s__Cobetia.pacifica",0
"s__Cobetia.sp..4B",0
"s__Cobetia.sp..cqz5.12",0
"s__Cobetia.sp..L2A1",0
"s__Cognaticolwellia.beringensis",0
"s__Cognatishimia.activa",0
"s__Cohnella.candidum",0
"s__Cohnella.sp..KS.22",0
"s__Cohnella.sp..LGH",0
"s__Cohnella.sp..MFER.1",0
"s__Colletotrichum.higginsianum",5.45788785474171
"s__Collimonas.arenae",0
"s__Colwellia.psychrerythraea",0
"s__Colwellia.sp..20A7",0
"s__Colwellia.sp..Arc7.635",0
"s__Colwellia.sp..Arc7.D",0
"s__Colwellia.sp..MT41",0
"s__Colwellia.sp..PAMC.20917",0
"s__Colwellia.sp..PAMC.21821",0
"s__Comamonas.aquatica",0.585797782410432
"s__Comamonas.kerstersii",0
"s__Comamonas.koreensis",0
"s__Comamonas.piscis",0
"s__Comamonas.serinivorans",0
"s__Comamonas.sp..7D.2",0
"s__Comamonas.sp..CJ34",0
"s__Comamonas.sp..NLF.1.9",0
"s__Comamonas.sp..NLF.7.7",0
"s__Comamonas.sp..Y33R10.2",0
"s__Comamonas.testosteroni",0
"s__Comamonas.thiooxydans",0
"s__Companilactobacillus.alimentarius",0
"s__Companilactobacillus.allii",0
"s__Companilactobacillus.crustorum",0
"s__Companilactobacillus.farciminis",0
"s__Companilactobacillus.futsaii",0
"s__Companilactobacillus.heilongjiangensis",0
"s__Companilactobacillus.paralimentarius",0
"s__Companilactobacillus.zhachilii",0
"s__Condylorrhiza.vestigialis.MNPV",0
"s__Conexivisphaera.calida",0.905121541907376
"s__Congregibacter.litoralis",0
"s__Coprococcus.catus",0
"s__Corynebacterium.ammoniagenes",0
"s__Corynebacterium.amycolatum",0
"s__Corynebacterium.anserum",0
"s__Corynebacterium.aquilae",0
"s__Corynebacterium.argentoratense",0
"s__Corynebacterium.atypicum",0
"s__Corynebacterium.aurimucosum",0
"s__Corynebacterium.bovis",0
"s__Corynebacterium.callunae",0
"s__Corynebacterium.camporealensis",0
"s__Corynebacterium.casei",0
"s__Corynebacterium.choanae",0
"s__Corynebacterium.coyleae",0
"s__Corynebacterium.crudilactis",0
"s__Corynebacterium.cystitidis",0
"s__Corynebacterium.deserti",0
"s__Corynebacterium.diphtheriae",0
"s__Corynebacterium.doosanense",0
"s__Corynebacterium.efficiens",0
"s__Corynebacterium.endometrii",0
"s__Corynebacterium.epidermidicanis",0
"s__Corynebacterium.flavescens",0
"s__Corynebacterium.frankenforstense",0
"s__Corynebacterium.freneyi",0
"s__Corynebacterium.genitalium",0
"s__Corynebacterium.gerontici",0
"s__Corynebacterium.glaucum",0
"s__Corynebacterium.glucuronolyticum",1.95164634726927
"s__Corynebacterium.glutamicum",0
"s__Corynebacterium.glyciniphilum",0
"s__Corynebacterium.halotolerans",0
"s__Corynebacterium.humireducens",0
"s__Corynebacterium.imitans",0
"s__Corynebacterium.incognita",0
"s__Corynebacterium.jeikeium",0
"s__Corynebacterium.kefirresidentii",0
"s__Corynebacterium.kroppenstedtii",0
"s__Corynebacterium.kutscheri",0
"s__Corynebacterium.lactis",0
"s__Corynebacterium.liangguodongii",0
"s__Corynebacterium.lizhenjunii",0
"s__Corynebacterium.macginleyi",2.28269733658077
"s__Corynebacterium.marinum",0
"s__Corynebacterium.maris",0
"s__Corynebacterium.matruchotii",0
"s__Corynebacterium.minutissimum",0
"s__Corynebacterium.mustelae",0
"s__Corynebacterium.mycetoides",0.975046374389734
"s__Corynebacterium.nuruki",0
"s__Corynebacterium.pelargi",0
"s__Corynebacterium.phage.Kimchi1738",0
"s__Corynebacterium.phage.Stickynote",0
"s__Corynebacterium.phocae",0
"s__Corynebacterium.propinquum",0.311083541475803
"s__Corynebacterium.provencense",0
"s__Corynebacterium.pseudopelargi",0
"s__Corynebacterium.pseudotuberculosis",0
"s__Corynebacterium.qintianiae",0
"s__Corynebacterium.renale",0
"s__Corynebacterium.resistens",0
"s__Corynebacterium.riegelii",0
"s__Corynebacterium.rouxii",0
"s__Corynebacterium.sanguinis",0
"s__Corynebacterium.segmentosum",0
"s__Corynebacterium.silvaticum",0
"s__Corynebacterium.simulans",0
"s__Corynebacterium.singulare",0
"s__Corynebacterium.sp..1864",0
"s__Corynebacterium.sp..1959",0
"s__Corynebacterium.sp..2019",0
"s__Corynebacterium.sp..2039",0
"s__Corynebacterium.sp..4H37.19",0
"s__Corynebacterium.sp..ATCC.6931",0
"s__Corynebacterium.sp..FDAARGOS.1242",0
"s__Corynebacterium.sp..L2.79.05",0
"s__Corynebacterium.sp..NML93.0612",0
"s__Corynebacterium.sp..NML98.0116",0
"s__Corynebacterium.sp..sy039",0
"s__Corynebacterium.sp..zg.320",0
"s__Corynebacterium.sp..zg.917",0
"s__Corynebacterium.sphenisci",0
"s__Corynebacterium.stationis",0
"s__Corynebacterium.striatum",3.37838319482158
"s__Corynebacterium.suranareeae",0
"s__Corynebacterium.terpenotabidum",0
"s__Corynebacterium.testudinoris",0
"s__Corynebacterium.timonense",0
"s__Corynebacterium.tuberculostearicum",2.10235993870181
"s__Corynebacterium.ulcerans",0
"s__Corynebacterium.urealyticum",0
"s__Corynebacterium.ureicelerivorans",0
"s__Corynebacterium.urogenitale",0
"s__Corynebacterium.uterequi",0
"s__Corynebacterium.variabile",0
"s__Corynebacterium.virus.C3PO",0
"s__Corynebacterium.virus.Darwin",0
"s__Corynebacterium.virus.Juicebox",0
"s__Corynebacterium.virus.phi673",0
"s__Corynebacterium.virus.Zion",0
"s__Corynebacterium.vitaeruminis",0
"s__Corynebacterium.xerosis",0
"s__Corynebacterium.yudongzhengii",0
"s__Costertonia.aggregata",0
"s__Coxiella.burnetii",0
"s__Coxiella.endosymbiont.of.Amblyomma.americanum",0
"s__Coxiella.endosymbiont.of.Amblyomma.nuttalli",0
"s__Coxiella.endosymbiont.of.Amblyomma.sculptum",0
"s__crAssphage.cr1_1",0
"s__crAssphage.cr110_1",0
"s__crAssphage.cr112_1",0
"s__crAssphage.cr115_1",0
"s__crAssphage.cr126_1",0
"s__crAssphage.cr127_1",0
"s__crAssphage.cr128_1",0
"s__crAssphage.cr50_1",0
"s__crAssphage.cr6_1",0
"s__crAssphage.cr8_1",0
"s__Criblamydia.sequanensis",0
"s__Croceibacter.atlanticus",0
"s__Croceicoccus.sp..YJ47",0
"s__Croceimicrobium.hydrocarbonivorans",0
"s__Cronobacter.condimenti",0.580516252298762
"s__Cronobacter.dublinensis",0
"s__Cronobacter.muytjensii",0
"s__Cronobacter.phage.CR5",0
"s__Cronobacter.sakazakii",0
"s__Cronobacter.sp..JZ38",0
"s__Cronobacter.universalis",0
"s__Cronobacter.virus.GAP32",0
"s__Cryobacterium.soli",0
"s__Cryobacterium.sp.",0
"s__Cryobacterium.sp..LW097",0
"s__Cryobacterium.sp..PAMC25264",0
"s__Cryptobacterium.curtum",0
"s__Cryptococcus.gattii.VGI",0
"s__Cryptococcus.neoformans",3.03525021778745
"s__Cryptosporidium.parvum",1.09243289960213
"s__Cucumber.mosaic.virus",0
"s__Cucumis.melo.alphaendornavirus",0
"s__Culex.nigripalpus.nucleopolyhedrovirus",0
"s__Cuniculiplasma.divulgatum",0
"s__Cupriavidus.basilensis",0.266095035544367
"s__Cupriavidus.campinensis",0
"s__Cupriavidus.gilardii",0.458041066179841
"s__Cupriavidus.malaysiensis",0
"s__Cupriavidus.metallidurans",1.89561486907656
"s__Cupriavidus.nantongensis",0
"s__Cupriavidus.necator",0
"s__Cupriavidus.neocaledonicus",0
"s__Cupriavidus.oxalaticus",10.7901463323954
"s__Cupriavidus.pauculus",0.356318289020291
"s__Cupriavidus.pinatubonensis",0
"s__Cupriavidus.sp..EM10",0.19632156922283
"s__Cupriavidus.sp..ISTL7",0
"s__Cupriavidus.sp..KK10",0
"s__Cupriavidus.sp..USMAA2.4",0
"s__Cupriavidus.sp..USMAHM13",0
"s__Cupriavidus.taiwanensis",0
"s__Cutibacterium.granulosum",0
"s__Cutibacterium.modestum",0.967198064248013
"s__cyanobacterium.endosymbiont.of.Epithemia.turgida",0
"s__cyanobacterium.endosymbiont.of.Rhopalodia.gibberula",0
"s__Cyanobium.sp..NIES.981",0
"s__Cyanophage.S.RIM32",0
"s__Cyclobacterium.marinum",0
"s__Cylindrospermopsis.curvispora",0
"s__Cylindrospermopsis.raciborskii",0
"s__Cytobacillus.gottheilii",0
"s__Cytobacillus.kochii",0
"s__Cytobacillus.oceanisediminis",0
"s__Dactylococcopsis.salina",0
"s__Dashli.phlebovirus",0
"s__Debaryomyces.hansenii",0.636423795323615
"s__Dechloromonas.sp..HYN0024",0
"s__Dechloromonas.sp..TW.R.39.2",0
"s__Deefgea.sp..D13",0
"s__Deep.sea.thermophilic.phage.D6E",0
"s__Deferribacter.desulfuricans",0
"s__Defluviicoccus.vanus",0
"s__Defluviimonas.alba",0
"s__Dehalobacterium.formicoaceticum",0
"s__Dehalogenimonas.formicexedens",0
"s__Dehalogenimonas.sp..GP",0
"s__Delftia.acidovorans",0
"s__Delftia.lacustris",0
"s__Delftia.sp..Cs1.4",0.220109822370295
"s__Delftia.sp..HK171",0
"s__Delftia.sp..KV29",0
"s__Delftia.sp..WY8",0
"s__Delftia.tsuruhatensis",2.01018999023566
"s__Delftia.virus.IMEDE1",0
"s__Delftia.virus.PhiW14",0
"s__Denitratisoma.oestradiolicum",0
"s__Denitrobacterium.detoxificans",0
"s__Dermabacter.jinjuensis",0
"s__Dermacoccus.nishinomiyaensis",0.623650806916898
"s__Desulfobacter.postgatei",0
"s__Desulfobacula.toluolica",0
"s__Desulfobulbus.oligotrophicus",0
"s__Desulfobulbus.propionicus",0
"s__Desulfococcus.multivorans",0
"s__Desulfocurvibacter.africanus",0
"s__Desulfohalobium.retbaense",0
"s__Desulfopila.sp..IMCC35005",0
"s__Desulfosarcina.widdelii",0
"s__Desulfotalea.psychrophila",0
"s__Desulfotomaculum.ferrireducens",0
"s__Desulfotomaculum.reducens",0
"s__Desulfovibrio.fairfieldensis",0
"s__Desulfovibrio.ferrophilus",0
"s__Desulfovibrio.magneticus",0
"s__Desulfovibrio.sp..86",0
"s__Desulfovibrio.sulfodismutans",0
"s__Desulfurispirillum.indicum",0
"s__Desulfurobacterium.thermolithotrophum",0
"s__Desulfurococcus.amylolyticus",0
"s__Desulfurococcus.mucosus",0
"s__Desulfuromonas.sp..AOP6",0
"s__Desulfuromonas.sp..DDH964",0
"s__Devriesea.agamarum",0
"s__Dialister.hominis",0
"s__Dialister.pneumosintes",0
"s__Diaminobutyricimonas.sp..LJ205",0
"s__Diaphorobacter.sp..HDW4A",0
"s__Diaphorobacter.sp..JS3050",0
"s__Diaphorobacter.sp..MNS.0",0
"s__Dichelobacter.nodosus",0
"s__Dickeya.chrysanthemi",0
"s__Dickeya.dianthicola",0
"s__Dickeya.fangzhongdai",0
"s__Dickeya.paradisiaca",0
"s__Dickeya.poaceiphila",0
"s__Dickeya.sp..NCPPB.3274",0
"s__Dickeya.virus.BF25.12",0
"s__Dickeya.zeae",0
"s__Dictyoglomus.turgidum",0
"s__Dietzia.lutea",0
"s__Dietzia.psychralcaliphila",0
"s__Dietzia.sp..DQ12.45.1b",0
"s__Dietzia.sp..oral.taxon.368",0
"s__Dietzia.timorensis",0.462544639944553
"s__Dolichospermum.flos.aquae",0
"s__Dolichospermum.sp..UHCC.0315A",0
"s__Dolosigranulum.pigrum",0
"s__Draconibacterium.halophilum",0
"s__Drosophila.innubila.nudivirus",7.99458943259014
"s__Duncaniella.dubosii",0
"s__Dyella.japonica",0
"s__Dyella.sp..M7H15.1",0
"s__Dysgonomonas.sp..HDW5A",0
"s__Dysgonomonas.sp..HDW5B",0
"s__Dysosmobacter.sp..Marseille.Q4140",0
"s__Echinicola.rosea",0
"s__Echinicola.sp..20G",0
"s__Echinicola.strongylocentroti",0
"s__Echinicola.vietnamensis",0
"s__Ectothiorhodospira.haloalkaliphila",0
"s__Ectothiorhodospira.sp..BSL.9",0
"s__Edwardsiella.anguillarum",0
"s__Edwardsiella.hoshinae",0
"s__Edwardsiella.ictaluri",0
"s__Edwardsiella.piscicida",0
"s__Edwardsiella.sp..EA181011",0
"s__Edwardsiella.sp..LADL05.105",0
"s__Edwardsiella.tarda",0
"s__Edwardsiella.virus.MSW3",0
"s__Edwardsiella.virus.pEtSU",0
"s__Eggerthella.guodeyinii",0
"s__Eggerthella.lenta",0
"s__Eggerthella.sp..YY7918",0
"s__Egibacter.rhizosphaerae",0.639386906293339
"s__Ehrlichia.canis",0
"s__Ehrlichia.chaffeensis",0
"s__Ehrlichia.sp..HF",0
"s__Eikenella.corrodens",0.730033640917726
"s__Elizabethkingia.anophelis",0
"s__Elizabethkingia.bruuniana",0
"s__Elizabethkingia.meningoseptica",0
"s__Elizabethkingia.miricola",0
"s__Elizabethkingia.sp..2.6",0
"s__Elizabethkingia.sp..JS20170427COW",1.36387892669688
"s__Elizabethkingia.sp..M8",0
